web-scraper-order ,web-scraper-start-url                          ,constituent_link                     ,constituent_link-href                                               ,Formerly                                                                                                                                                                                                                                                                                                      ,Company type                   ,Company type-href                                      ,Traded as                                                                                                                                                                                                                                                                                                                               ,ISIN                                                                            ,Industry                ,Founded                                                                                                                                                                                                                                                                                                                                                                                                    ,Founder                                                           ,Headquarters                                                                             ,Key people                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Services                                                                                                                                                                                                                                                                                                                                                                                              ,Operating income               ,Net income                     ,AUM                           ,Number of employees      ,Website
"1727695464-78"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Compass Group"                      ,"https://en.wikipedia.org/wiki/Compass_Group"                       ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Foodservice"           ,"1941; 83 years ago (1941)"                                                                                                                                                                                                                                                                                                                                                                                ,""                                                                ,"Chertsey, England, UK"                                                                  ,"[{""Key people"":""Ian Meakins (Chairman)""},{""Key people"":""Dominic Blakemore (CEO)[2]""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£1.891 billion (2023)[3]"     ,"£1.318 billion (2023)[3]"     ,""                            ,"562,460 (2023)[3]"      ,"compass-group.com"
"1727695466-79"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Coca-Cola HBC"                      ,"https://en.wikipedia.org/wiki/Coca-Cola_Hellenic_Bottling_Company" ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_company"         ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,""                      ,"1969; 55 years ago (1969), in Athens, Greece (as Hellenic Bottling Company S.A.)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        2000; 24 years ago (2000) (as Coca-Cola Hellenic Bottling Company S.A.)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        2013; 11 years ago (2013) (as Coca-Cola HBC AG)"                                                                                                                                                                                                                                                                                                                                                           ,""                                                                ,"Steinhausen, Zug, Switzerland[1]"                                                       ,"[{""Key people"":""Anastassis G David (chair­person)""},{""Key people"":""Zoran Bogdanović (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                            ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"€953.6 million (2023)[2]"     ,"€635.7 million (2023)[2]"     ,""                            ,""                       ,"www.coca-colahellenic.com"
"1727695468-80"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Centrica"                           ,"https://en.wikipedia.org/wiki/Centrica"                            ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,""                      ,"17 February 1997; 27 years ago (1997-02-17)"                                                                                                                                                                                                                                                                                                                                                              ,""                                                                ,"Windsor, England, UK"                                                                   ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£2.752 billion (2023)[2]"     ,"£4.040 billion (2023)[2]"     ,""                            ,"20,000 (2023)[3]"       ,"www.centrica.com"
"1727695470-81"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Bunzl"                              ,"https://en.wikipedia.org/wiki/Bunzl"                               ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Distribution"          ,"1854; 170 years ago (1854)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        (Pozsony, Hungary)"                                                                                                                                                                                                                                                                                                                                                                                        ,""                                                                ,"London, England, UK"                                                                    ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£789.1 million (2023)[4]"     ,"£526.2 million (2023)[4]"     ,""                            ,"22,500 (2024)[5]"       ,"www.bunzl.com"
"1727695473-82"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"BT Group"                           ,"https://en.wikipedia.org/wiki/BT_Group"                            ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[{""Traded as"":""LSE: BT.A""},{""Traded as"":""FTSE 100 Component""}]"                                                                                                                                                                                                                                                                ,""                                                                              ,"Telecommunications"    ,"18 June 1846; 178 years ago (1846-06-18)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        (foundation of the Electric Telegraph Company)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        1 January 1912; 112 years ago (1912-01-01)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        (National Telephone Company system take-over under the General Post Office)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        1 October 1969; 54 years ago (1969-10-01)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        (as a public corporation under the Post Office)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        1 October 1981; 42 years ago (1981-10-01)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        (as a public corporation under the British Telecom brand)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        1 April 1984; 40 years ago (1984-04-01)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        (as a private company)"                                                                                                                                                                                                                                                                                                                                                                                    ,""                                                                ,"One Braham, London, England, UK"                                                        ,"[{""Key people"":""Adam Crozier\n(Chairman)""},{""Key people"":""Allison Kirkby\n(Chief Executive)""},{""Key people"":""Simon Lowth\n(Group Finance Director)""}]"                                                                                                                                                                                                                                                                                                                                                               ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£3.175 billion (2023)[1]"     ,"£1.905 billion (2023)[1]"     ,""                            ,"98,800 (2023)[1]"       ,"bt.com"
"1727695475-83"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"British American Tobacco"           ,"https://en.wikipedia.org/wiki/British_American_Tobacco"            ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Tobacco"               ,"September 1902; 122 years ago (1902-09)"                                                                                                                                                                                                                                                                                                                                                                  ,"Imperial Tobacco
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    American Tobacco Company"                                         ,"London, England, UK"                                                                    ,"[{""Key people"":""Imperial Tobacco""},{""Key people"":""American Tobacco Company""},{""Key people"":""Luc Jobin (Chairman)""},{""Key people"":""Tadeu Marroco (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                        ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£(15.751) billion (2023)[2]"  ,"£(14.189) billion (2023)[2]"  ,""                            ,"46,000 (2024)[3]"       ,"bat.com"
"1727695477-84"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"BP"                                 ,"https://en.wikipedia.org/wiki/BP"                                  ,"[{""Formerly"":""Anglo-Persian Oil Company (1909–1935)""},{""Formerly"":""Anglo-Iranian Oil Company (1935–1954)""},{""Formerly"":""The British Petroleum Company Limited (1954–1981)""},{""Formerly"":""The British Petroleum Company p.l.c. (1981–1998)""},{""Formerly"":""BP Amoco p.l.c. (1998–2001)""}]" ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,"[update]"                                                                      ,"Oil and gas"           ,"14 April 1909; 115 years ago (1909-04-14) (as the Anglo-Persian Oil Company)"                                                                                                                                                                                                                                                                                                                             ,"William Knox D'ArcyCharles Greenway"                             ,"London, England, UK"                                                                    ,"[{""Key people"":""William Knox D'Arcy""},{""Key people"":""Charles Greenway""},{""Key people"":""Helge Lund (chairman)""},{""Key people"":""Murray Auchincloss (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                       ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"US$27.35 billion (2023)[2]"   ,"US$15.88 billion (2023)[2]"   ,""                            ,"87,800 (2023)[1]"       ,"bp.com"
"1727695479-85"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Berkeley Group Holdings"            ,"https://en.wikipedia.org/wiki/Berkeley_Group_Holdings"             ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Housebuilding"         ,"1976; 48 years ago (1976)"                                                                                                                                                                                                                                                                                                                                                                                ,""                                                                ,"Cobham, England, UK"                                                                    ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£518.3 million (2023)[3]"     ,"£465.7 million (2023)[3]"     ,""                            ,"2,973 (2023)[3]"        ,"www.berkeleygroup.co.uk"
"1727695481-86"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Beazley"                            ,"https://en.wikipedia.org/wiki/Beazley_plc"                         ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Insurance"             ,"1986; 38 years ago (1986)"                                                                                                                                                                                                                                                                                                                                                                                ,""                                                                ,"London, England, UK"                                                                    ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"$1,295.0 million (2023)[1]"   ,"$1,026.8 million (2023)[1]"   ,""                            ,""                       ,"beazley.com"
"1727695483-87"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Barratt Developments"               ,"https://en.wikipedia.org/wiki/Barratt_Developments"                ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,"[update]"                                                                      ,"Housebuilding"         ,"May 14, 1958; 66 years ago (1958-05-14)"                                                                                                                                                                                                                                                                                                                                                                  ,""                                                                ,"Coalville, England, UK"                                                                 ,"[{""Key people"":""Caroline Silver (Chairwoman)""},{""Key people"":""David Thomas (CEO)[2]""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£174.7 million (2024)[3]"     ,"£114.1 million (2024)[3]"     ,""                            ,"6,451 (2024)[3]"        ,"www.barrattdevelopments.co.uk"
"1727695485-88"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Barclays"                           ,"https://en.wikipedia.org/wiki/Barclays"                            ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,"GB0031348658"                                                                  ,"Banking"               ,"17 November 1690; 333 years ago (1690-11-17) in the City of London, Kingdom of England"                                                                                                                                                                                                                                                                                                                   ,""                                                                ,""                                                                                       ,"[{""Key people"":""Nigel Higgins (group chairman)""},{""Key people"":""C. S. Venkatakrishnan (group chief executive)""}]"                                                                                                                                                                                                                                                                                                                                                                                                        ,"[{""Services"":""Banking""},{""Services"":""Financial services""}]"                                                                                                                                                                                                                                                                                                                                  ,"£6.557 billion (2023)[2]"     ,"£5.323 billion (2023)[2]"     ,""                            ,"100,000 (2023)[3]"      ,"home.barclays"
"1727695487-89"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"BAE Systems"                        ,"https://en.wikipedia.org/wiki/BAE_Systems"                         ,"[{""Formerly"":""British Aerospace Limited (1979–1981)""},{""Formerly"":""British Aerospace Public Limited Company (1981–2000)[1]""}]"                                                                                                                                                                       ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,"51°16′25″N 0°46′00″W﻿ / ﻿51.27361°N 0.76667°W﻿ / 51.27361; -0.76667"              ,"Aerospace"             ,"30 November 1999; 24 years ago (1999-11-30)"                                                                                                                                                                                                                                                                                                                                                              ,""                                                                ,"London, England, UK"                                                                    ,"[{""Key people"":""Cressida Hogg (Chair)""},{""Key people"":""Charles Woodburn (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£2.573 billion (2023)"        ,"£1.940 billion (2023)"        ,""                            ,"93,000 (2024)"          ,"baesystems.com"
